"Rank","Nicho","Cidade/Região","Nome","Nota","Avaliações","Contato","Site atual","Google Maps","Motivo da abordagem","Score potencial","Print"
"1","Fisioterapeuta","São Paulo","Dr. Emivaldo Maia Fisioterapeuta","5,0","130","(11) 94733-8119","https://www.emivaldomaia.com.br/","https://www.google.com/maps/place/Dr.+Emivaldo+Maia+Fisioterapeuta/data=!4m7!3m6!1s0x94cef98f3eea98c9:0x91d150234a9b806!8m2!3d-23.5189804!4d-46.679832!16s%2Fg%2F11yf6p5wr6!19sChIJyZjqPo_5zpQRBripNAIVHQk?authuser=0&hl=pt-BR&rclk=1","Domínio próprio existe, mas abre um WordPress padrão/placeholder com título ""My Blog"" e conteúdo genérico de arquitetura; falha crítica para conversão e confiança.","10","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\20_site_dr-emivaldo-maia-fisioterapeuta.png"
"2","Fisioterapia","São Paulo","Clínica de Fisioterapia - Instituto Trata Jardins","5,0","338","(11) 91369-9073","Sem site no Google Maps; apenas WhatsApp","https://www.google.com/maps/place/Cl%C3%ADnica+de+Fisioterapia+-+Instituto+Trata+Jardins/data=!4m7!3m6!1s0x94ce5975eb33b2cd:0x47f7ea1bc27afcc5!8m2!3d-23.573679!4d-46.661274!16s%2Fg%2F11c6ljrgvd!19sChIJzbIz63VZzpQRxfx6whvq90c?authuser=0&hl=pt-BR&rclk=1","Nota máxima e alto volume de avaliações, mas o perfil mostra opção de adicionar website; oportunidade direta para página de captação/agendamento.","9.8","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\18_site_clinica-de-fisioterapia-instituto-trata-jardins.png"
"3","Dentista","São Paulo/Guarulhos","Serena Odontologia","4,8","335","(11) 4574-1704","Sem site no Google Maps","https://www.google.com/maps/place/Serena+Odontologia/data=!4m7!3m6!1s0x94cef5598f3aa31b:0x523f806971cc6fd5!8m2!3d-23.4686494!4d-46.527593!16s%2Fg%2F1ptyw3p37!19sChIJG6M6j1n1zpQR1W_McWmAP1I?authuser=0&hl=pt-BR&rclk=1","Volume alto de avaliações e sem website listado; depende só do perfil do Maps e telefone, perdendo captação de pacientes por página própria.","9.6","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\15_site_serena-odontologia.png"
"4","Dentista","São Paulo","Dra Katia Albuquerque - Dentista","4,9","121","(11) 95919-1708","https://consultorioodontok.wix.com/odontok","https://www.google.com/maps/place/Dra+Katia+Albuquerque+-+Dentista/data=!4m7!3m6!1s0x94ce5c9e086d0f61:0xcd2202d9cc2bcf70!8m2!3d-23.6243327!4d-46.5927578!16s%2Fg%2F12hpn_9rs!19sChIJYQ9tCJ5czpQRcM8rzNkCIs0?authuser=0&hl=pt-BR&rclk=1","Link do site abre erro do Wix: domínio não conectado a um site. Lead quente para correção imediata e página nova.","9.5","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\11_site_dra-katia-albuquerque-dentista.png"
"5","Dentista","São Paulo","Dentista 24 Horas e Pronto Socorro Odontológico Dra Danielly Odontologia24horas","4,8","458","(11) 2273-0023","https://www.odontologia24horas.com.br/","https://www.google.com/maps/place/Dentista+24+Horas+e+Pronto+Socorro+Odontol%C3%B3gico+Dra+Danielly+Odontologia24horas/data=!4m7!3m6!1s0x94ce5bde48bcc3dd:0x2a9918268966889a!8m2!3d-23.5821843!4d-46.6140706!16s%2Fg%2F11btn1fnr7!19sChIJ3cO8SN5bzpQRmohmiSYYmSo?authuser=0&hl=pt-BR&rclk=1","Volume altíssimo de avaliações, porém site visualmente muito datado, carregado, com banners antigos e CTAs pouco profissionais.","9.4","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\08_site_dentista-24-horas-e-pronto-socorro-odontologico-dra-danielly.png"
"6","Dentista","São Paulo","Dr. Júlio Taira","4,8","208","(11) 5031-8607","Sem site no Google Maps","https://www.google.com/maps/place/Dr.+J%C3%BAlio+Taira/data=!4m7!3m6!1s0x94ce5a819da68ee5:0xae37b774a7c91433!8m2!3d-23.6400928!4d-46.6682288!16s%2Fg%2F11cn3h96y2!19sChIJ5Y6mnYFazpQRMxTJp3S3N64?authuser=0&hl=pt-BR&rclk=1","Bom volume de avaliações e sem site listado; perfil do Maps mostra opção de adicionar website.","9.2","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\06_site_dr-julio-taira.png"
"7","Fisioterapeuta","São Paulo","Dra. Natalia Gonçalves - Fisioterapeuta","5,0","170","(11) 96461-8258","Sem site no Google Maps; apenas wa.me","https://www.google.com/maps/place/Dra.+Natalia+Gon%C3%A7alves+-+Fisioterapeuta/data=!4m7!3m6!1s0x2c7f9e63f8ec451d:0xbeb7e3e1ac8bd234!8m2!3d-23.5650895!4d-46.664122!16s%2Fg%2F11sstq48kp!19sChIJHUXs-GOefywRNNKLrOHjt74?authuser=0&hl=pt-BR&rclk=1","5,0 com 170 avaliações em região premium, mas sem website; apenas link de WhatsApp no perfil.","9.1","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\19_site_dra-natalia-goncalves-fisioterapeuta.png"
"8","Dentista","São Paulo","Centro Odontologico Jabaquara","4,9","277","(11) 97741-7364","https://www.cojabaquara67.com/","https://www.google.com/maps/place/Centro+Odontologico+Jabaquara/data=!4m7!3m6!1s0x94ce5ae857a5a09b:0xf62a17de49be0e4c!8m2!3d-23.6458182!4d-46.6445591!16s%2Fg%2F11hbkbttj1!19sChIJm6ClV-hazpQRTA6-Sd4XKvY?authuser=0&hl=pt-BR&rclk=1","Muitas avaliações, mas página simples/datada, layout fraco, copy pouco profissional e aparência de template antigo.","8.9","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\07_site_centro-odontologico-jabaquara.png"
"9","Dentista","São Paulo","Dentista Santa Ifigênia","4,9","115","(11) 3228-1793","https://sites.google.com/view/clinicaodontologicacentro","https://www.google.com/maps/place/Dentista+Santa+Ifig%C3%AAnia/data=!4m7!3m6!1s0x94ce59b6e117cfad:0xc465e8b2bdf3b5ce!8m2!3d-23.5395192!4d-46.6385102!16s%2Fg%2F11fp899zpw!19sChIJrc8X4bZZzpQRzrXzvbLoZcQ?authuser=0&hl=pt-BR&rclk=1","Site atual é Google Sites, sem domínio próprio, título genérico “Evento” e visual muito básico; abordagem de profissionalização é clara.","8.7","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\12_site_dentista-santa-ifigenia.png"
"10","Dentista","São Paulo","Dra Aline Odontologia - Dentista / Ortodontista","5,0","78","(11) 98881-2682","https://www.odontoconsultas.com.br/","https://www.google.com/maps/place/Dra+Aline+Odontologia+-+Dentista+%2F+Ortodontista/data=!4m7!3m6!1s0x94ce5a57e1f08af1:0xa5efa1a17dbd80f0!8m2!3d-23.6256882!4d-46.6405908!16s%2Fg%2F11b7ftl81l!19sChIJ8Yrw4VdazpQR8IC9faGh76U?authuser=0&hl=pt-BR&rclk=1","Nota máxima, mas site com estética muito antiga, pouca hierarquia visual e CTA de agendamento fraco/indireto.","8.4","D:\LEONARDO\Drive\Projetos\funil-comercial\prospeccao-paginas-2026-07-10\13_site_dra-aline-odontologia-dentista-ortodontista.png"
